id,app,name,applied
1,contenttypes,0001_initial,2024-06-10 16:23:24.853266
2,auth,0001_initial,2024-06-10 16:23:24.874679
3,admin,0001_initial,2024-06-10 16:23:24.893732
4,admin,0002_logentry_remove_auto_add,2024-06-10 16:23:24.908998
5,admin,0003_logentry_add_action_flag_choices,2024-06-10 16:23:24.920598
6,contenttypes,0002_remove_content_type_name,2024-06-10 16:23:24.939836
7,auth,0002_alter_permission_name_max_length,2024-06-10 16:23:24.955958
8,auth,0003_alter_user_email_max_length,2024-06-10 16:23:24.970876
9,auth,0004_alter_user_username_opts,2024-06-10 16:23:24.979890
10,auth,0005_alter_user_last_login_null,2024-06-10 16:23:24.994356
11,auth,0006_require_contenttypes_0002,2024-06-10 16:23:25.000107
12,auth,0007_alter_validators_add_error_messages,2024-06-10 16:23:25.010783
13,auth,0008_alter_user_username_max_length,2024-06-10 16:23:25.024918
14,auth,0009_alter_user_last_name_max_length,2024-06-10 16:23:25.038708
15,auth,0010_alter_group_name_max_length,2024-06-10 16:23:25.052295
16,auth,0011_update_proxy_permissions,2024-06-10 16:23:25.062304
17,auth,0012_alter_user_first_name_max_length,2024-06-10 16:23:25.077798
18,sessions,0001_initial,2024-06-10 16:23:25.089965
19,core,0001_initial,2024-06-10 16:50:40.139308
20,core,0002_alter_actividades_options_alter_donaciones_options_and_more,2024-06-10 17:38:11.425182
21,core,0003_inicio_ofertas_seccion_icono,2024-06-12 13:52:08.695139
22,core,0004_articulos_delete_seccion_alter_nosotros_options,2024-06-12 14:42:19.311025
23,core,0005_donacionescbu_and_more,2024-06-17 20:31:43.119883
24,core,0006_alter_donacionescbu_cbu,2024-06-17 20:38:25.228028
25,core,0007_alter_donacionescbu_cbu,2024-06-18 15:17:13.359609
26,core,0008_alter_actividades_descripcion_alter_actividades_info_and_more,2024-06-21 23:29:09.249550
27,core,0009_alter_historias_options_articulos_imagenes,2024-06-22 14:37:54.510114
28,core,0010_donaciones_donar,2024-06-22 15:05:19.684944
